StudentID	termcode	Course ID	A1	A2	A3	A4	M1	FinalExam
6	201709	1	81	59	22	23	34	55
7	201709	7	18	82	31	52	20	22
8	201709	6	74	50	32	48	97	42
9	201709	6	63	41	77	88	39	24
10	201709	8	59	55	28	78	64	23
11	201709	4	17	65	54	56	84	50
12	201709	5	64	47	50	40	99	27
13	201709	6	19	39	66	51	36	46
14	201709	4	99	83	77	52	77	47
15	201709	1	94	73	22	49	85	22
16	201709	2	91	89	64	26	81	53
17	201709	7	69	73	52	37	31	56
18	201709	5	40	62	60	62	96	53
19	201709	5	40	83	88	29	85	47
20	201709	8	53	24	54	47	51	36
21	201709	1	75	56	32	34	23	34
22	201709	8	38	62	97	72	79	49
23	201709	1	8	31	29	69	35	31
24	201709	8	51	32	36	84	54	42
25	201709	5	27	70	42	63	32	21
26	201709	7	92	23	71	57	81	49
27	201709	1	17	29	23	74	63	41
28	201709	3	69	82	78	77	73	41
29	201709	5	14	21	99	97	86	40
30	201709	7	83	38	70	89	69	47
31	201709	4	36	88	95	64	50	47
32	201709	6	57	95	21	65	66	22
33	201709	6	82	72	90	70	31	42
34	201709	6	83	94	84	73	43	59
35	201709	6	41	21	84	76	98	46
36	201709	1	69	30	65	83	64	52
37	201709	3	75	75	38	60	29	45
38	201709	3	45	44	90	49	72	28
39	201709	3	72	65	30	85	35	59
40	201709	5	9	22	60	80	98	20
41	201709	1	53	32	43	68	21	26
42	201709	5	37	79	71	74	54	53
43	201709	7	94	30	21	65	100	55
44	201709	7	26	64	34	72	70	41
45	201709	3	64	35	79	25	88	30
46	201709	2	90	33	83	50	49	43
47	201709	3	54	37	60	86	27	25
48	201709	6	8	34	57	85	89	35
49	201709	7	37	58	84	27	31	43
50	201709	4	77	49	59	56	47	25
